cell,split_id,run_id,common_epoch,sel_M1,sel_M0,grid_restricted,common_dAUC,common_negDP,common_negEO,indep_dAUC,indep_negDP,indep_negEO
FairGB/Bail,23,2,150,1039,71,True,0.002105507648321181,-0.07934100920091006,-0.14479932074845348,0.08607728523630664,0.10657190925619961,-0.0628128930114975
FairGB/Bail,23,3,50,1186,66,True,-0.02037128871991256,0.0066967148536983545,0.04914614760953251,0.09245216164176406,0.04907187961756457,0.08038022765141106
FairGB/Bail,23,4,100,778,43,True,-0.03917870469858242,-0.011837131928569888,-0.07001908798988787,0.05921345657584187,0.049897989207225824,-0.04945257687863491
FairGB/Bail,24,0,100,1012,52,True,-0.03884054161194839,-0.027991265763712192,-0.09461401258181457,0.026692690396818763,-0.03344746902223761,-0.013340729868518864
FairGB/Bail,24,1,300,594,75,True,0.027120105579585663,0.05172265135373122,0.03370816816330935,0.06360766347387148,0.04762766976740673,-0.010185645328433135
FairGB/Bail,24,2,300,1074,41,True,0.023973419137792162,-0.01662781311062328,-0.013452448368717396,0.09002312710263782,-0.0028269868932567777,0.026134424322273198
FairGB/Bail,24,3,100,901,71,True,0.0013562874801407165,-0.021061214020044322,-0.013926288904041684,0.06019991704242467,0.07536997099724846,0.06753575955096869
FairGB/Bail,24,4,150,852,54,True,0.00647551220945719,-0.15011699177554821,-0.0733605310095885,0.03925810366941873,-0.062086473681431,0.008552243808291005
FairGB/Bail,25,0,100,997,35,True,0.01914309186862706,-0.059680455185156356,-0.0330136750940202,0.11510899278483377,-0.03352101518722855,-0.0020095833837108223
FairGB/Bail,25,1,50,770,52,True,-0.0012137519782779993,-0.023768358069780088,0.024919343035501806,0.07033237365806166,-0.15485048048281405,-0.03500162268449292
FairGB/Bail,25,2,100,764,48,True,0.0002801922717824423,-0.09593359580732336,-0.09612910205094582,0.07942106862213894,-0.12960678547068322,-0.06540118487785318
FairGB/Bail,25,3,100,1235,57,True,0.02107181723007412,-0.08363498415658649,-0.056690869058906634,0.08721556036158484,-0.04031490403294741,0.003947895919107602
FairGB/Bail,25,4,100,1403,50,True,0.0012986036495210573,-0.19900859947677885,-0.15435993051092278,0.06036407202309335,-0.02140209892851902,-0.006820365644905624
