method,dataset,configuration,coordinate,n_splits,n_units,frozen_mean,frozen_resolved,split_mean,split_lo,split_hi,split_sign_stability,t_resolved,t_resolved_ci_only,loso_resolved_count,loso_all_resolved,loso_none_resolved,mean_shift
EDITS,credit,default,negEO,6,30,0.2329116109325785,True,0.23291161093257853,0.047513506378679626,0.41830971548647744,1.0,True,True,3,False,False,2.7755575615628914e-17
EDITS,german,default,dAUC,6,30,-0.0289066666666666,False,-0.028906666666666626,-0.078712228095905,0.020898894762571753,0.8333333333333334,False,False,1,False,False,-2.42861286636753e-17
EDITS,german,default,negDP,6,30,0.2759779988543748,True,0.27597799885437496,0.06803789628188292,0.483918101426867,0.8333333333333334,True,True,2,False,False,1.6653345369377348e-16
EDITS,german,default,negEO,6,30,0.2211369597484384,True,0.22113695974843842,0.03953065690852678,0.40274326258835,0.8333333333333334,True,True,2,False,False,2.7755575615628914e-17
FairEdit,bail,default,dAUC,6,30,-5.905497750561631e-06,False,-5.905497750563933e-06,-2.218569218373769e-05,1.0374696682609825e-05,0.6666666666666666,False,False,0,False,True,-2.301388517689934e-18
FairEdit,bail,default,negDP,6,30,4.3966670641187405e-05,False,4.39666706411874e-05,-0.00010606080785014024,0.00019399414913251505,0.5,False,False,0,False,True,-6.776263578034403e-21
FairEdit,bail,default,negEO,6,30,3.541451066885656e-05,False,3.541451066885656e-05,-0.00013004141156219091,0.00020087043289990404,0.3333333333333333,False,False,0,False,True,0.0
FairEdit,credit,default,dAUC,6,30,-5.108243683660252e-07,False,-5.108243683678755e-07,-9.424313735458224e-07,-7.921736318992872e-08,1.0,False,False,0,False,True,-1.850343473277019e-18
FairEdit,credit,default,negDP,6,30,0.0,False,0.0,0.0,0.0,0.0,False,False,0,False,True,0.0
FairEdit,credit,default,negEO,6,30,0.0,False,0.0,0.0,0.0,0.0,False,False,0,False,True,0.0
FairEdit,german,default,dAUC,6,30,0.0001447619047618,False,0.00014476190476188618,-2.4399598566960545e-05,0.0003139234080907329,1.0,False,False,0,False,True,8.61940727125976e-17
FairEdit,german,default,negDP,6,30,0.0005512484453886,False,0.0005512484453886617,-0.0008616674802914443,0.0019641643710687677,0.3333333333333333,False,False,0,False,True,6.16911036144252e-17
